transaction_id,amount,transaction_time,device_type,location,payment_method,merchant_category,transaction_frequency,account_age_days,avg_transaction_amount,failed_transactions_24h,is_international,device_change,is_fraud
1,1407.8,8,mobile,semi-urban,Paytm Wallet,electronics,30,161,891.91,2,0,0,0
2,9030.36,3,desktop,urban,Debit Card,electronics,37,1222,2325.21,8,0,1,0
3,3950.24,5,desktop,semi-urban,Debit Card,fashion,32,200,204.2,3,0,1,0
4,2738.83,23,mobile,rural,Net Banking,travel,38,1755,1529.25,8,0,1,0
5,508.87,1,mobile,urban,PhonePe Wallet,electronics,26,274,293.26,7,0,0,0
6,508.79,0,mobile,rural,Debit Card,entertainment,32,289,40.98,11,0,0,0
7,179.52,22,mobile,urban,Amazon Pay Wallet,food,7,29,1521.37,7,0,0,0
8,6033.69,16,tablet,semi-urban,Credit Card,grocery,23,439,749.94,6,0,0,0
9,2757.25,3,tablet,urban,Debit Card,electronics,8,455,3646.62,7,0,0,0
10,3693.75,4,desktop,semi-urban,PhonePe Wallet,grocery,41,1228,1791.8,6,0,0,0
11,62.4,17,mobile,urban,Amazon Pay Wallet,food,27,2256,1485.41,1,0,1,0
12,10510.67,12,mobile,semi-urban,Debit Card,electronics,2,887,1242.1,8,0,0,0
13,5359.29,19,mobile,rural,Paytm Wallet,grocery,32,1310,244.63,11,0,0,0
14,716.06,10,mobile,urban,Paytm Wallet,electronics,12,2466,140.84,11,0,0,0
15,602.04,22,mobile,rural,Paytm Wallet,electronics,22,2862,4153.92,1,0,0,0
16,607.83,19,mobile,urban,PhonePe Wallet,grocery,31,2016,2039.48,7,0,1,0
17,1088.26,0,desktop,semi-urban,Debit Card,grocery,47,1748,3383.06,7,0,0,0
18,2231.78,11,mobile,urban,UPI,fashion,28,2819,280.41,11,0,0,0
19,1696.61,12,mobile,rural,UPI,grocery,6,1381,2747.04,7,0,0,0
20,1032.67,3,mobile,urban,Paytm Wallet,grocery,43,2749,2774.83,0,0,0,0
21,2839.11,11,mobile,semi-urban,Credit Card,fashion,41,1230,386.08,2,0,1,0
22,450.7,5,mobile,semi-urban,UPI,electronics,37,647,1155.83,5,0,0,0
23,1036.55,12,mobile,rural,Net Banking,food,33,2094,794.69,0,0,1,0
24,1368.83,13,desktop,urban,Credit Card,electronics,28,1740,1213.54,7,0,0,0
25,1826.8,11,mobile,rural,Paytm Wallet,entertainment,33,2988,19.97,10,0,0,0
26,4613.81,20,desktop,urban,Paytm Wallet,food,2,836,143.04,2,0,0,0
27,668.21,19,desktop,urban,Credit Card,grocery,45,476,64,1,0,0,0
28,2166.09,1,mobile,urban,Debit Card,travel,19,616,3267.63,7,0,0,0
29,2692.51,21,mobile,rural,Amazon Pay Wallet,grocery,43,1021,3603.26,10,0,0,0
30,142.69,11,mobile,rural,UPI,electronics,23,1116,5964.91,9,0,1,1
31,2806,5,tablet,urban,Debit Card,fashion,4,1845,4650.37,1,0,0,0
32,560.88,21,mobile,urban,Debit Card,fashion,34,1577,1843.94,7,0,1,0
33,201.79,3,mobile,urban,Net Banking,grocery,25,730,1982.67,1,0,0,0
34,8921.06,23,desktop,urban,Debit Card,food,4,770,853.7,8,0,0,0
35,10111.89,0,mobile,semi-urban,Paytm Wallet,electronics,37,2869,6135.78,1,0,0,0
36,4956.99,7,desktop,urban,Amazon Pay Wallet,food,48,215,7352.17,5,0,0,0
37,1089.86,7,mobile,rural,Net Banking,entertainment,8,2090,4658.99,7,0,0,0
38,308.33,20,mobile,rural,PhonePe Wallet,grocery,31,1228,875.4,2,0,0,0
39,3458.25,11,mobile,urban,Paytm Wallet,fashion,46,6,684.43,3,0,0,0
40,1740.27,3,mobile,semi-urban,Debit Card,travel,18,49,9033.42,9,0,0,0
41,390.46,15,mobile,urban,Amazon Pay Wallet,travel,9,164,431.03,2,0,0,0
42,2050.64,13,desktop,semi-urban,Debit Card,electronics,3,51,2511.45,2,0,0,0
43,104.98,13,mobile,semi-urban,Net Banking,electronics,21,1343,4735.58,1,0,0,0
44,7201.27,1,tablet,rural,Amazon Pay Wallet,fashion,49,2905,5247.27,1,0,0,0
45,898.37,16,mobile,urban,PhonePe Wallet,electronics,30,2398,1804.86,7,0,0,0
46,3258.77,23,mobile,urban,Debit Card,electronics,37,1937,3290.32,0,0,0,0
47,1120.64,7,mobile,semi-urban,Credit Card,grocery,23,2543,4345.55,7,0,0,0
48,2202.33,6,mobile,semi-urban,Paytm Wallet,entertainment,41,253,1225.54,1,0,0,0
49,2373.67,12,mobile,rural,Debit Card,travel,12,2011,1740.49,0,0,0,0
50,613.17,10,desktop,semi-urban,Debit Card,travel,18,312,2219.4,0,0,0,0
51,10478.42,18,desktop,urban,Debit Card,entertainment,27,2408,2919.16,11,0,0,0
52,4476.74,18,mobile,rural,UPI,fashion,30,1490,1246.51,8,0,0,0
53,8415.28,9,mobile,semi-urban,Credit Card,food,12,977,2376.2,11,0,0,0
54,6756.46,23,mobile,urban,PhonePe Wallet,travel,9,530,4348.02,7,0,1,0
55,2733.16,10,tablet,rural,Paytm Wallet,travel,25,1039,4055.01,4,0,0,0
56,7648.31,15,desktop,semi-urban,Amazon Pay Wallet,fashion,21,980,96.16,8,0,0,0
57,277.97,7,mobile,urban,PhonePe Wallet,fashion,39,1836,3028.84,11,0,0,0
58,654.4,1,desktop,urban,UPI,fashion,8,42,721.12,6,0,0,0
59,138.85,13,mobile,rural,Paytm Wallet,food,7,283,237.93,2,0,0,0
60,1180.6,16,mobile,urban,Net Banking,electronics,20,2112,114.28,10,0,0,0
61,1476.39,16,desktop,semi-urban,UPI,electronics,41,572,4191.54,4,0,0,0
