transaction_id,amount,transaction_time,device_type,location,payment_method,merchant_category,transaction_frequency,account_age_days,avg_transaction_amount,failed_transactions_24h,is_international,device_change,is_fraud
1,538.56,13,desktop,rural,Debit Card,education,7,660,452.79,0,0,0,0
2,532.23,6,mobile,semi-urban,UPI,entertainment,13,840,706.23,1,0,0,0
3,486.23,2,tablet,rural,Debit Card,food,17,1018,455.98,0,0,0,0
4,1252.67,19,desktop,urban,UPI,fashion,7,593,760.29,0,0,1,0
5,1119.75,8,desktop,urban,Credit Card,food,6,1261,1148.1,0,0,0,0
6,101.72,10,tablet,semi-urban,Paytm Wallet,entertainment,5,238,117.63,0,0,1,0
7,450.73,5,mobile,semi-urban,Debit Card,health,11,660,556.83,0,0,0,0
8,5891.48,21,desktop,rural,Debit Card,groceries,2,17,1584.72,2,1,0,1
9,369.14,19,mobile,urban,Net Banking,entertainment,17,787,506.32,1,0,0,0
10,502.91,8,mobile,semi-urban,Paytm Wallet,gaming,23,431,361.83,0,1,0,0
11,358.81,19,desktop,rural,Debit Card,recharge,8,890,257.9,1,0,0,0
12,726.96,20,desktop,semi-urban,UPI,recharge,7,223,641.13,0,0,0,0
13,392.79,8,mobile,urban,Debit Card,entertainment,19,911,298.48,0,0,0,0
14,2607.05,17,desktop,rural,Debit Card,food,35,1263,3673.14,0,0,1,0
15,276.14,14,desktop,semi-urban,UPI,entertainment,12,831,339.07,1,0,0,0
16,1003.27,7,mobile,rural,Paytm Wallet,travel,20,688,805.98,0,0,0,0
17,817.17,16,mobile,urban,Paytm Wallet,health,12,817,1077.9,0,0,0,0
18,695.74,15,desktop,semi-urban,Net Banking,food,19,561,446.9,0,0,0,0
19,636.95,9,mobile,rural,UPI,health,16,458,705.7,1,0,0,0
20,2767.95,17,mobile,semi-urban,Debit Card,education,6,85,2140.05,1,0,0,0
21,886.87,16,desktop,semi-urban,Net Banking,electronics,14,499,697.22,0,1,1,0
22,333.76,11,mobile,urban,Credit Card,electronics,4,860,423.46,1,0,0,0
23,802.8,6,desktop,urban,Net Banking,fashion,6,938,510.93,1,1,0,0
24,964.19,15,desktop,urban,Paytm Wallet,recharge,7,935,1402.22,0,0,0,0
25,648.67,21,mobile,semi-urban,Credit Card,health,7,748,516.24,0,0,0,0
26,555.59,19,mobile,urban,Net Banking,groceries,9,672,375.58,1,0,0,0
27,2824.88,7,mobile,rural,UPI,fashion,1,921,2702.51,0,0,0,0
28,357.48,23,mobile,urban,UPI,food,12,544,376.73,1,0,0,0
29,826.44,20,mobile,urban,Paytm Wallet,health,28,30,1182.96,0,0,0,0
30,1349.97,20,tablet,semi-urban,Debit Card,electronics,19,974,1654.11,0,1,0,0
31,1838.22,10,desktop,urban,Debit Card,gaming,14,1216,2355.24,1,0,0,0
32,3695.85,15,desktop,semi-urban,Debit Card,groceries,12,775,4515.35,0,0,0,0
33,243.91,21,mobile,urban,Debit Card,electronics,9,759,182.97,0,1,0,0
34,676.06,12,mobile,semi-urban,Debit Card,fashion,15,30,859.52,1,0,0,0
35,800.67,19,mobile,urban,Paytm Wallet,groceries,11,578,1082.93,0,0,0,0
36,429.71,18,mobile,urban,Net Banking,food,9,1043,340.05,1,0,0,0
37,15710.44,11,mobile,urban,Credit Card,travel,11,10,4735.48,3,1,0,1
38,1150.62,8,desktop,semi-urban,Debit Card,electronics,15,60,1321.1,0,0,1,0
39,3156.37,3,tablet,rural,UPI,entertainment,26,15,1341.82,4,1,1,1
40,537.23,14,desktop,urban,UPI,recharge,14,648,594.76,0,0,0,0
41,706.96,17,desktop,semi-urban,Debit Card,fashion,14,974,1047.71,1,0,0,0
42,428.94,9,mobile,urban,UPI,electronics,20,371,394.42,1,0,0,0
43,327.36,9,mobile,semi-urban,Credit Card,gaming,18,770,297.84,0,0,0,0
44,765.55,17,desktop,semi-urban,UPI,electronics,21,30,528.23,1,0,0,0
45,5046.43,18,tablet,rural,Debit Card,entertainment,20,1110,6623.21,1,0,0,0
46,180.49,2,mobile,urban,Debit Card,education,4,276,155.99,0,0,0,0
47,309.4,4,mobile,urban,Debit Card,travel,13,40,309.3,0,0,0,0
48,570.03,10,desktop,urban,Net Banking,recharge,13,119,560.2,1,0,0,0
49,655.47,16,mobile,semi-urban,Net Banking,gaming,9,777,401.45,0,0,0,0
50,807.62,20,desktop,rural,UPI,fashion,9,893,1087.35,0,0,0,0
51,647.26,12,mobile,urban,Debit Card,health,6,520,465.75,0,0,0,0
