amount,payment_method,merchant_category,device_new,location_change,transaction_time,is_fraud
98303.8,Credit Card,Food & Dining,1,0,Day,0
161304.32,NetBanking,Fuel,0,1,Night,1
121137.11,Debit Card,Grocery,1,1,Night,1
166788.4,Credit Card,Entertainment,1,1,Night,1
136351.7,NetBanking,Grocery,0,0,Day,0
106473.25,UPI,Entertainment,0,1,Night,1
178789.77,NetBanking,Electronics,0,1,Day,1
195900.99,NetBanking,Gaming,1,0,Night,1
131110.84,NetBanking,Healthcare,1,1,Night,1
40199.21,UPI,Food & Dining,1,1,Day,0
23042.12,Debit Card,Grocery,0,1,Day,0
122197.85,Debit Card,Finance & Investments,1,1,Night,1
199477.87,NetBanking,Gaming,1,1,Day,1
177010.73,Credit Card,Education,1,0,Day,0
186438.66,UPI,Finance & Investments,0,0,Day,0
54974.39,NetBanking,Subscriptions,1,0,Night,1
162385.49,NetBanking,Finance & Investments,0,1,Night,1
72131.21,Debit Card,Food & Dining,0,0,Night,0
179892.56,UPI,Electronics,0,1,Day,1
172890.25,Debit Card,Finance & Investments,0,1,Night,1
83633.51,Credit Card,Utilities & Bills,0,1,Day,0
28057.33,NetBanking,Travel & Transport,0,0,Day,0
103200.18,NetBanking,Fuel,0,1,Day,0
139218.73,Credit Card,Healthcare,1,0,Night,1
12568.25,NetBanking,Healthcare,0,0,Night,0
161106.41,UPI,Grocery,1,1,Day,1
36960.95,NetBanking,Subscriptions,1,1,Day,0
120909.54,Debit Card,Entertainment,0,0,Day,0
92021.32,UPI,Fuel,1,1,Night,1
143570.0,NetBanking,Grocery,0,1,Day,0
76440.75,Credit Card,Electronics,1,0,Night,1
21478.12,NetBanking,Finance & Investments,0,0,Night,0
72703.25,Debit Card,Healthcare,1,0,Day,0
152908.79,NetBanking,Entertainment,0,0,Day,0
112497.84,NetBanking,Education,0,0,Night,0
185708.49,NetBanking,Shopping,0,1,Day,0
8334.9,Debit Card,Travel & Transport,0,0,Day,0
185337.78,UPI,Fuel,0,0,Night,0
70321.17,UPI,Healthcare,0,0,Night,0
63723.99,Credit Card,Grocery,1,1,Day,1
115071.51,UPI,Fuel,1,1,Night,1
1371.13,Credit Card,Utilities & Bills,0,1,Day,0
66490.39,Debit Card,Subscriptions,1,1,Night,1
135453.0,UPI,Travel & Transport,0,1,Night,1
94345.51,Debit Card,Shopping,1,0,Day,0
162934.57,Debit Card,Gaming,1,1,Night,1
187118.87,NetBanking,Shopping,0,0,Night,0
167126.51,NetBanking,Luxury Goods,0,0,Day,0
108406.27,Debit Card,Education,0,0,Night,0
14340.53,Credit Card,Travel & Transport,1,1,Night,1
79041.17,UPI,Finance & Investments,1,0,Day,0
18873.27,NetBanking,Gaming,0,0,Day,0
185899.88,Credit Card,Fuel,0,0,Night,0
89541.27,Debit Card,Food & Dining,0,1,Night,1
40499.49,Credit Card,Food & Dining,0,1,Night,0
54885.23,NetBanking,Food & Dining,1,0,Day,0
132931.33,UPI,Subscriptions,1,1,Night,1
170306.35,UPI,Gaming,0,1,Night,1
155244.03,NetBanking,Gaming,1,1,Night,1
24592.08,UPI,Entertainment,0,1,Day,0
23841.06,NetBanking,Finance & Investments,1,0,Day,0
191221.02,UPI,Entertainment,1,1,Night,1
167437.63,Debit Card,Entertainment,1,0,Day,0
60113.18,UPI,Utilities & Bills,0,1,Night,1
29442.72,UPI,Subscriptions,1,1,Night,1
86244.35,Debit Card,Finance & Investments,1,1,Night,1
5919.25,Credit Card,Luxury Goods,1,1,Day,1
158449.81,NetBanking,Subscriptions,1,0,Night,1
197638.29,Credit Card,Electronics,1,1,Day,1
133083.85,NetBanking,Entertainment,1,1,Night,1
66132.29,NetBanking,Grocery,0,0,Day,0
87446.29,NetBanking,Luxury Goods,0,0,Night,1
23080.89,UPI,Utilities & Bills,1,0,Night,0
127259.79,UPI,Education,0,1,Night,1
179814.52,UPI,Grocery,0,0,Day,0
104196.56,UPI,Subscriptions,0,1,Night,1
72369.46,NetBanking,Utilities & Bills,0,1,Night,1
23464.59,Debit Card,Electronics,1,0,Day,0
27570.4,UPI,Education,1,1,Night,1
50338.77,Credit Card,Travel & Transport,1,1,Night,1
82490.61,UPI,Shopping,0,1,Day,0
10240.77,NetBanking,Subscriptions,1,0,Night,0
117110.15,Credit Card,Food & Dining,1,0,Night,1
172361.89,Debit Card,Travel & Transport,1,1,Day,1
189007.77,UPI,Grocery,1,1,Night,1
189279.04,Debit Card,Education,0,0,Day,0
23268.62,Debit Card,Education,0,1,Night,0
169139.16,NetBanking,Shopping,0,1,Day,0
179282.65,Debit Card,Subscriptions,1,0,Day,0
131664.88,Debit Card,Entertainment,1,1,Day,1
16850.21,UPI,Subscriptions,0,0,Day,0
185988.0,Debit Card,Electronics,1,0,Day,1
8366.35,Debit Card,Entertainment,0,0,Night,0
42572.57,Debit Card,Travel & Transport,0,1,Night,0
30075.93,Debit Card,Travel & Transport,0,1,Day,0
177561.2,UPI,Luxury Goods,0,1,Day,1
75912.58,Debit Card,Finance & Investments,0,1,Night,1
172432.72,Debit Card,Luxury Goods,1,1,Day,1
73359.29,UPI,Food & Dining,0,0,Day,0
119930.08,UPI,Education,0,0,Night,0
24216.94,Credit Card,Luxury Goods,0,1,Day,0
195875.19,Debit Card,Subscriptions,1,0,Day,0
56828.62,Credit Card,Fuel,0,1,Night,1
104238.75,NetBanking,Electronics,0,0,Day,0
24303.17,NetBanking,Gaming,0,1,Day,0
25725.17,Credit Card,Utilities & Bills,0,0,Night,0
31917.48,NetBanking,Shopping,0,0,Night,0
135733.63,Debit Card,Shopping,0,1,Day,0
85880.32,NetBanking,Fuel,0,1,Day,0
184120.25,NetBanking,Finance & Investments,1,1,Day,1
50368.83,Debit Card,Travel & Transport,1,1,Day,1
177866.98,UPI,Healthcare,1,1,Day,1
136122.78,UPI,Electronics,1,1,Night,1
36619.25,UPI,Travel & Transport,0,1,Day,0
33147.46,UPI,Gaming,0,0,Night,0
46640.66,NetBanking,Food & Dining,1,0,Day,0
65390.52,NetBanking,Subscriptions,1,0,Night,1
39187.65,Credit Card,Food & Dining,1,1,Day,0
122153.36,Credit Card,Finance & Investments,1,0,Night,1
76238.95,Credit Card,Travel & Transport,0,1,Day,0
28680.04,UPI,Subscriptions,1,0,Night,0
119072.24,Debit Card,Luxury Goods,0,0,Day,0
182385.89,Credit Card,Subscriptions,1,0,Day,0
26865.17,Debit Card,Electronics,1,0,Night,1
71126.78,NetBanking,Luxury Goods,0,1,Night,1
36113.27,UPI,Gaming,1,0,Night,1
166599.78,NetBanking,Luxury Goods,0,0,Day,0
178.3,Credit Card,Luxury Goods,1,0,Night,1
174339.4,Credit Card,Shopping,0,0,Night,0
147097.19,NetBanking,Grocery,1,1,Night,1
175801.27,Credit Card,Travel & Transport,1,0,Night,1
190137.93,UPI,Food & Dining,0,1,Night,1
147766.92,Credit Card,Education,0,0,Day,0
15148.91,NetBanking,Utilities & Bills,1,1,Night,1
191439.79,UPI,Fuel,0,1,Day,0
28629.49,Credit Card,Finance & Investments,0,1,Night,0
145402.54,Credit Card,Education,0,0,Day,0
132901.53,Debit Card,Electronics,1,1,Day,1
191532.8,UPI,Fuel,0,1,Night,1
111048.74,NetBanking,Fuel,0,0,Day,0
12936.39,UPI,Travel & Transport,1,0,Night,0
28112.4,Debit Card,Travel & Transport,0,1,Day,0
36315.54,UPI,Finance & Investments,1,0,Day,0
164786.69,Credit Card,Travel & Transport,1,0,Night,1
119436.7,Debit Card,Finance & Investments,0,0,Night,0
36252.41,NetBanking,Gaming,1,0,Day,0
2534.26,NetBanking,Utilities & Bills,0,1,Day,0
150084.26,NetBanking,Grocery,0,1,Night,1
122424.57,NetBanking,Education,0,1,Night,1
142944.56,NetBanking,Fuel,0,1,Night,1
188883.86,Credit Card,Travel & Transport,1,0,Day,0
108465.64,Credit Card,Utilities & Bills,1,0,Night,1
37178.32,Credit Card,Healthcare,0,0,Day,0
69127.2,NetBanking,Luxury Goods,1,1,Day,1
78246.62,Credit Card,Electronics,1,1,Night,1
87394.9,NetBanking,Gaming,0,1,Day,1
137334.42,Debit Card,Fuel,0,1,Night,1
74752.28,NetBanking,Finance & Investments,1,0,Night,1
179438.74,NetBanking,Food & Dining,1,1,Day,1
23941.9,NetBanking,Finance & Investments,0,1,Day,0
91942.23,UPI,Finance & Investments,1,1,Night,1
46665.99,Credit Card,Fuel,1,0,Day,0
39128.0,Credit Card,Subscriptions,0,0,Day,0
159446.8,Debit Card,Food & Dining,1,1,Night,1
151535.54,Debit Card,Gaming,1,0,Day,1
71278.76,UPI,Education,0,1,Day,0
98295.05,UPI,Subscriptions,0,0,Night,0
564.49,Debit Card,Fuel,0,1,Day,0
154931.41,Debit Card,Finance & Investments,0,0,Day,0
591.5,UPI,Fuel,0,1,Night,0
153354.23,Credit Card,Travel & Transport,1,0,Day,0
112329.27,Debit Card,Electronics,0,0,Night,1
156271.48,UPI,Travel & Transport,1,0,Night,1
175163.16,Credit Card,Utilities & Bills,1,1,Day,1
169085.82,Debit Card,Education,0,0,Day,0
34514.87,Credit Card,Luxury Goods,0,0,Day,0
25767.08,NetBanking,Food & Dining,1,0,Day,0
6527.4,Credit Card,Shopping,1,0,Night,0
147859.24,NetBanking,Travel & Transport,0,0,Day,0
45755.08,NetBanking,Utilities & Bills,0,1,Night,0
156354.68,NetBanking,Healthcare,1,0,Night,1
56921.81,Credit Card,Utilities & Bills,1,0,Night,1
112993.55,NetBanking,Gaming,1,0,Day,1
145412.31,UPI,Shopping,0,1,Night,1
8911.56,Credit Card,Entertainment,1,0,Night,0
132912.06,Debit Card,Fuel,1,0,Day,0
186309.24,NetBanking,Education,1,1,Night,1
72711.72,Credit Card,Luxury Goods,0,0,Night,1
28261.15,Credit Card,Fuel,1,0,Day,0
17765.72,Debit Card,Education,1,0,Day,0
87278.48,UPI,Finance & Investments,1,1,Day,1
153525.27,UPI,Luxury Goods,1,1,Day,1
196745.3,NetBanking,Travel & Transport,0,1,Day,0
103663.88,UPI,Utilities & Bills,1,0,Night,1
181236.71,Credit Card,Luxury Goods,0,0,Night,1
144170.53,UPI,Gaming,0,0,Night,1
148264.62,Credit Card,Healthcare,1,0,Day,0
37725.99,NetBanking,Entertainment,0,0,Day,0
74513.65,Credit Card,Finance & Investments,0,0,Night,0
187730.87,NetBanking,Finance & Investments,1,1,Night,1
170211.26,NetBanking,Grocery,0,0,Night,0
84932.11,NetBanking,Shopping,0,1,Day,0
69914.78,Debit Card,Grocery,1,0,Day,0
169497.01,NetBanking,Finance & Investments,0,0,Day,0
71064.9,Debit Card,Shopping,0,0,Day,0
64552.14,NetBanking,Food & Dining,0,0,Day,0
3607.97,Debit Card,Luxury Goods,1,1,Night,1
108207.58,Credit Card,Grocery,1,0,Day,0
164842.56,UPI,Travel & Transport,0,1,Night,1
153783.47,NetBanking,Fuel,0,0,Night,0
7999.83,UPI,Subscriptions,0,0,Day,0
173207.98,Credit Card,Finance & Investments,1,1,Night,1
97331.63,NetBanking,Grocery,0,0,Night,0
59575.82,UPI,Utilities & Bills,0,1,Day,0
7161.08,Credit Card,Electronics,0,0,Day,0
97012.97,Credit Card,Luxury Goods,0,0,Day,0
80591.11,Credit Card,Subscriptions,1,0,Day,0
2028.19,UPI,Electronics,0,1,Day,0
137627.36,UPI,Education,1,0,Night,1
173811.27,Credit Card,Shopping,0,0,Night,0
178755.12,NetBanking,Electronics,1,1,Day,1
82222.77,Credit Card,Shopping,0,1,Night,1
60483.67,Credit Card,Grocery,0,1,Day,0
184904.28,NetBanking,Utilities & Bills,0,1,Night,1
94392.51,UPI,Entertainment,1,1,Day,1
44810.78,NetBanking,Travel & Transport,1,0,Day,0
123567.88,Credit Card,Electronics,1,0,Night,1
141401.21,Debit Card,Food & Dining,1,1,Night,1
99522.57,Credit Card,Finance & Investments,0,0,Night,0
74103.57,Debit Card,Healthcare,0,1,Day,0
174738.47,NetBanking,Utilities & Bills,1,0,Day,0
25923.96,UPI,Luxury Goods,0,1,Day,0
135204.91,UPI,Food & Dining,0,0,Night,0
60893.92,UPI,Food & Dining,1,0,Night,1
157926.26,UPI,Entertainment,0,0,Day,0
69741.53,Credit Card,Travel & Transport,0,1,Night,1
62845.16,UPI,Healthcare,0,0,Night,0
91802.55,Credit Card,Travel & Transport,1,1,Night,1
161391.76,NetBanking,Healthcare,0,1,Day,0
108876.09,NetBanking,Finance & Investments,0,1,Night,1
100882.71,UPI,Travel & Transport,0,1,Night,1
27392.66,Credit Card,Fuel,0,0,Night,0
85915.23,Credit Card,Finance & Investments,1,1,Night,1
87124.54,UPI,Utilities & Bills,1,0,Day,0
98986.91,UPI,Utilities & Bills,0,0,Night,0
41687.94,UPI,Subscriptions,1,1,Night,1
29638.02,Debit Card,Electronics,1,1,Night,1
99899.43,Credit Card,Education,1,1,Day,1
49334.25,NetBanking,Subscriptions,1,1,Night,1
53278.89,Credit Card,Healthcare,0,0,Day,0
179599.66,UPI,Subscriptions,0,0,Night,0
135947.03,UPI,Finance & Investments,0,0,Night,0
87126.84,NetBanking,Finance & Investments,0,1,Day,0
125137.53,Credit Card,Food & Dining,0,1,Night,1
128499.58,NetBanking,Education,0,1,Day,0
159750.81,Debit Card,Electronics,0,0,Night,1
79497.51,UPI,Shopping,0,0,Night,0
173.1,UPI,Utilities & Bills,1,1,Night,1
140285.35,NetBanking,Healthcare,1,1,Day,1
142413.88,Debit Card,Utilities & Bills,1,1,Day,1
10675.93,NetBanking,Entertainment,0,0,Night,0
113739.45,Credit Card,Grocery,0,1,Day,0
15168.44,NetBanking,Electronics,0,1,Day,0
23770.36,NetBanking,Shopping,1,1,Day,0
67308.46,Credit Card,Luxury Goods,1,1,Night,1
100297.6,Credit Card,Luxury Goods,0,1,Day,1
19221.08,UPI,Fuel,1,0,Night,0
166441.69,UPI,Food & Dining,0,0,Day,0
4107.39,UPI,Finance & Investments,0,0,Night,0
170151.66,Debit Card,Grocery,0,1,Day,0
195400.65,Credit Card,Luxury Goods,0,1,Night,1
175141.75,NetBanking,Gaming,1,0,Day,1
165306.3,NetBanking,Electronics,1,1,Night,1
153882.85,UPI,Utilities & Bills,1,1,Day,1
77037.13,Debit Card,Electronics,0,0,Day,0
